,X^2,X^3,T*X,T*X^2,T*X^3,Charter,FRPSL,Minority,Title1,Region
1,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,0,0,0,0,0
4,0,0,1,0,0,0,0,0,0,0
5,1,0,1,0,0,0,0,0,0,0
6,1,0,1,1,0,0,0,0,0,0
7,1,1,1,1,1,0,0,0,0,0
8,0,0,1,0,0,1,0,0,0,0
9,0,0,1,0,0,0,1,0,0,0
10,0,0,1,0,0,0,0,1,0,0
11,0,0,1,0,0,0,0,0,1,0
12,0,0,1,0,0,0,0,0,0,1
